OBJECTID,artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location,F2010_Census_Neighborhoods,F2010_Census_Wards_Precincts,Zip_Codes,GlobalID
132,Russum,Olin,,Unknown,1967,ceramic tile,21231,City Springs ES,100 S. Caroline St.,PS  08,Interior,,,,,"100 S. Caroline St.21231
(39.289709252181865, -76.5970533485002)",249,111,27954,44ea3484-e40a-4357-a4da-ee9b14e5781b
133,English,J. Craig,,Unknown,,"print, wood",21229,Edmondson-Westside Sr. HS,4501 Edmondson Ave.,,,,,,,"4501 Edmondson Ave.21229
(39.29334251318022, -76.69151813445791)",239,52,27950,c0e0db9b-b3f8-487c-a244-0396ebf39989
134,Wagner,Richard,,Unknown,,painted steel,21213,Collington Square Recreation Center,Oliver and Patterson Park Ave.,,"Interior; lobby",,,,,"Oliver and Patterson Park Ave.21213
(39.316199999999924, -76.57662999999991)",276,194,26956,115a31e0-102a-40ce-a0db-ff76d0d6b33f
135,Mack,Nathaniel,,Unknown,1977,corten,21215,Pimlico Multi-purpose Center,3309 W. Belvedere Ave.,,Exterior,,,,,"3309 W. Belvedere Ave.21215
(39.348203159211586, -76.67705091210944)",43,240,27295,e934a2a2-ed43-494f-b34b-48040d819793
136,Henry,Greg,,,1996,Steel,21217,Mt. Royal & Lanvale Streets - Median,1300 Mt. Royal Avenue,,Median,Large Sculpture with Rooster on Top,Very Visible,,,"1300 Mt. Royal Avenue21217
(39.30750188439189, -76.62114988191786)",21,95,27301,b632c46c-6504-4c28-a1fd-e65b26b94639
137,Kaslow,Lisa,,Kinship,1981,steel,21216,Alexander Hamilton ES,800 Poplar Grove St.,PS 145,Along entrance walkway,,,,,"800 Poplar Grove St.21216
(39.29774019790352, -76.66508706001673)",163,233,27297,cf320f7c-5ed1-4f4d-bd9b-3299f7283914
138,Borofsky,Jonathan,https://data.baltimorecity.gov/views/5xsg-uc29/files/GXI1F7fOo3-me6y69uo3D4aAyO1Idbmw9_9Ag5TGiCA?filename=696a_Borofsky+J_2004.JPG,Male/ Female,2004,sculpture,21201,Penn Station,1500 N. Charles St.,,"In front of Penn Station; between Charles and St. Paul Sts.",Man and woman intersected,"Very visible from street; in front of Penn Station, between Charles and St. Paul Sts.",,,"1500 N. Charles St.21201
(39.307119154955394, -76.6163791665234)",44,158,13642,caa6ec0b-a5f8-473e-ac3c-b6238943e3b2
139,Joyner,Bill,,Unknown,1975,mural,21215,Mini Schools,4900 Park Heights Ave.,PS  14,Interior,,,,,"4900 Park Heights Ave.21215
(39.34649244511189, -76.67256042608022)",43,242,27295,56d7cd5b-eaa4-49b2-b1a7-fd4ac247a903
140,Ferguson,John D.,,Sidney Lake,1983,cor ten,21208,Park Place,7200 block of Park Heights Ave.,,,,,,,"7200 block of Park Heights Ave.21208
(39.384119999999996, -76.72733)",,,13998,e16fb433-5e3e-463c-b756-40ff6fc5afb1
141,Todd,Thomas A.,https://data.baltimorecity.gov/views/5xsg-uc29/files/ufhGiGIiN7LfniNRZIUZpso_2ozX0X_61iwdKYQczT4?filename=515b_Todd+T_1980.JPG,Equitable Trust Fountain,1980,stone,21201,Bank of America Plaza,22 W. Pratt St.,,Northwest corner of Pratt and Charles St.,Large fountain with stone pillars,Highly Visible,,,"22 W. Pratt St.21201
(39.28653837861109, -76.61535868592661)",241,6,13642,c13ca734-12b9-4b2d-8ff8-5cc04978e5d8
142,Halegua,Alfredo,,Colossus I (fountain),1972,corten steel,21201,Waxter Center for Senior Citizens,861 Park Ave.,,Entrance plaza,,,,,"861 Park Ave.21201
(39.30077091314223, -76.61859211110192)",151,96,13642,062bba08-1825-4531-8ad2-3d17e219cdba
143,unknown,,,Edward J. Gallagher Memorial,1934,bronze,21218,Alameda Circle,E. 36th St. at The Alameda,,Alameda Circle,,,,,"E. 36th St. at The Alameda21218
(39.3316806112893, -76.59535362986486)",77,186,27307,46c8eed0-7db2-45df-b38c-d2f4e4cc9387
144,Winborne,Kylis,,Unknown,1975,acrylic window,21207,Forest Park HS,4300 Chatham Rd.,PS 406,Interior windows,,,,,"4300 Chatham Rd.21207
(39.33075965705877, -76.68973533631352)",38,64,13995,fa59267b-f367-4117-85a5-9fac3de4b764
145,Negri,Mario,,Seen from a Wall in the Memory,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,f2236dbd-03b1-411d-9775-e9b585daceba
146,unknown,,,Ryan's Bird Sanctuary,1927,,21224,Mount Pleasant Park,Mount Pleasant Park,,,,,,Y,"Mount Pleasant Park21224
(39.2834400000001, -76.54115999999999)",203,135,27935,9f76500e-aea2-4328-81a3-9f4a1f5b8baa
147,James and Mural Masters,Shawn,,,2004,mural,21230,Wicomico and Bayard Sts.,Wicomico and Bayard Sts.,,Side of building,"Gwynns Falls Trail; trees",Visible,,,"Wicomico and Bayard Sts.21230
(39.266940000000034, -76.62630000000001)",258,151,27953,dd1e7c68-21f4-450e-abaf-9c81ef373bfc
148,di Suvero,Mark,https://data.baltimorecity.gov/views/5xsg-uc29/files/ne0dqhYMWcVdk8ecHbJfoDgLXlfAZ7tE6WUlDs2J78A?filename=17_di+Suvero+M_1980.jpg,Under Sky/One Family,1980,steel,21202,Inner Harbor,401 E. Pratt St.,,East of the World Trade Center,"large steel sculpture consisting of 4 I-beams; propellor behind sculpture",highly visible,outdoor accessible,,"401 E. Pratt St.21202
(39.28659731736442, -76.60928176413138)",121,6,13645,6feb388e-dfe2-4702-be6e-d98569123684
149,Katzen,Lila,,Fanned Area,1979,cor-ten & stainless steel,21218,Johns Hopkins Univresity,N. Charles St.,,Outside Olin Hall on San Martin Dr.,,,,Y,"N. Charles St.21218
(39.33912699769189, -76.61835828737432)",99,28,27307,e0e7471e-5926-4fcf-b00b-d36297dd9ae0
150,Mullen,Gary,,,2007,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,3dba9d54-08b0-4982-a3e8-827bc4ce475b
151,Wells,Betty,,Unknown,1969,ceramic tiles,21217,Furman L. Templeton ES,1200 N. Pennsylvania Ave.,PS 125,Bridge over street,,,,,"1200 N. Pennsylvania Ave.21217
(39.299507365976886, -76.62976664033435)",242,90,27301,a6c5258f-006c-49cb-bfb7-008e310799d9
152,Weinman,Adolph A.,,Union Soldiers and Sailors,1909,bronze,21218,N. Charles St. and 28th S.,N. Charles St. and 28th St.,,Wyman Park south corner,,,,Y,"N. Charles St. and 28th St.21218
(39.321922967271405, -76.61725212127828)",277,32,27307,5964bc65-6ab1-4167-930e-4bab5f5da769
153,Capellano,Antonio,,Moses and Christ Reliefs,c.1817,marble,,St. Paul's Episcopal Church,St. Paul's Episcopal Church,,Reliefs on front of building,,,,,St. Paul's Episcopal Church,,,,77a69e33-558b-4eea-8188-3a5cfa24d9e7
154,Lee,Herbert,,Uni I,1977,painted steel,21213,Oliver Multi-purpose Center,1601 N. Eden St.,,Beside entrance,,,,,"1601 N. Eden St.21213
(39.316199999999924, -76.57662999999991)",276,194,26956,73f8c700-e083-48d8-bcc2-95deb4f94b0d
155,Todd,M,,,2007,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,e256f01a-fbd3-48ba-90e6-91765aeec821
156,"Dietrich, Todd, and Darby","Julie, Mel, and Michael",,,1999,mural,21223,"1621 Cole St., off S. Mount St.","1621 Cole St., off S. Mount St.",,"Hard to find; access mural at Cole and Gilmor Sts; proceed around the building to the back of the Shipping and Receiving of Lexor Intern'l where garden is located","Sunflowers, corn, and garden scene",No visibility,,,"1621 Cole St., off S. Mount St.21223
(39.28365000000008, -76.65196999999989)",36,279,27632,59330142-fb4f-4e3c-b824-b59c29b5aed5
157,unknown,,,Rogers Bastion,1814,,21231,Patterson Park,Patterson Park,,Fort Hill,,,,Y,"Patterson Park21231
(39.28823000000011, -76.59190000000001)",240,287,27954,c3cc58dd-2b8e-4b6d-a642-932f6fb65535
158,Vosough,Mohsen,,Colors in Harmony,1974,painted steel,21217,William H. Pinderhughes ES,1200 N. Freemont Ave.,PS  28,Lobby wall,,,,,"1200 N. Freemont Ave.21217
(39.30253732325122, -76.63642794927624)",221,15,27301,610e0840-2479-48d2-9981-03d94430a3ab
159,Calder,Alexander,,Four Dishes,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Dr.,,,,,,,"10 Art Museum Dr.21218
(39.325933943522045, -76.61823238229022)",123,13,27307,03ba930e-d59a-47ff-ac70-3d83d904b42f
160,Phillips,James,,Unknown,1979,mural,21217,Duke Ellington ES,850 W. North Ave.,PS 117,Interior,,,,,"850 W. North Ave.21217
(39.31060050292251, -76.63117362629185)",210,16,27301,a4a65f93-342f-41ef-8ebb-65ad080ea182
161,Joyner,Bill,,Unknown,1980,acrylic windows,21207,Forest Park HS,4300 Chatham Rd.,PS 406,Interior,,,,,"4300 Chatham Rd.21207
(39.33075965705877, -76.68973533631352)",38,64,13995,db0d18ec-d106-4926-b5b4-6492b54c0421
162,Mason,Pontella,,,1990,mural,21217,1611 Carey St.,1611 Carey St.,,East/ odd side of street on wall of an open warehouse near playground and open field,Famous African Americans with African flags at bottom of mural,Visible,,,"1611 Carey St.21217
(39.3077757819037, -76.6413821657709)",221,22,27301,a2826a9e-1175-4dbb-a1e1-13e8ee751a05
163,Bonet,Jordi,,Untitled,,cast aluminum,21216,Walbook HS,2000 Edgewood St.,PS 411,Entrance walls,,,,,"2000 Edgewood St.21216
(39.31021379444991, -76.67596885657127)",83,45,27297,f014a023-b1d7-446f-b3e8-a25d8dc0ab30
164,Hosler,Danamarie,,,2007,mural,,Health Department,,,,,,,,,,,,b7c67d1d-60ce-4f18-9a56-044d8cb68ec2
165,Berge,Edward,,On the Trail,1915,bronze,21213,Clifton Park,Clifton Park,,,,,,,"Clifton Park21213
(39.316199999999924, -76.57662999999991)",276,194,26956,42a0a534-9cab-4628-84d7-9f5b1e4ca786
166,Hilson,Harry,,Unknown,1969,mural,21214,Woodholme ES,7300 Moyer Ave.,PS 205,Interior,,,,,"7300 Moyer Ave.21214
(39.35158999999999, -76.56538999999992)",136,224,27291,3029d544-fc1a-4db6-b3b1-69d36d3b16c4
167,"Wells, Attr.",Betty,,Unknown,,ceramic tiles,21217,Furman L. Templeton ES,1200 N. Pennsylvania Ave.,PS 125,Lobby wall,,,,,"1200 N. Pennsylvania Ave.21217
(39.299507365976886, -76.62976664033435)",242,90,27301,681b54fc-4a90-4571-ad9f-347fb6cd3192
168,Kissack,Lyle,,,2001,mural,21217,1904 McCulloh St.,1904 McCulloh St.,,Side of building,People in community,Visible,,,"1904 McCulloh St.21217
(39.30744388259967, -76.63382662627828)",144,99,27301,da1db584-38cc-4195-aeb5-315693a75781
